instance,insertion,first,random,mid,median 3,median 3 random,median 9,median 9 random,dual pivot
66-10000,SAT:1.0:1.0:1.0:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
67-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
68-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
69-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
70-10000,SAT:0.99:0.99:0.99:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
71-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
72-10000,SAT:1.05:1.05:1.05:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
73-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
74-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
75-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
76-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
77-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
78-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
79-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
80-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
81-10000,SAT:0.98:0.98:0.98:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
82-10000,SAT:1.03:1.03:1.03:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
